Suburb,Rooms,Type,Price,Distance,Postcode,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,price_avg,price_min,price_max
Abbotsford,2,h,1172500.0,2.5,3067.0,1.0,1.0,195.0,,,Yarra,-37.8084,144.9973,140.29299363057325,28.0,900.0
Abbotsford,2,h,1310000.0,2.5,3067.0,1.0,2.0,238.0,97.0,1890.0,Yarra,-37.809,144.9976,115.5940594059406,30.0,400.0
Abbotsford,2,h,1310000.0,2.5,3067.0,1.0,2.0,238.0,97.0,1890.0,Yarra,-37.809,144.9976,140.29299363057325,28.0,900.0
Abbotsford,3,h,1200000.0,2.5,3067.0,2.0,1.0,113.0,110.0,1880.0,Yarra,-37.8056,144.993,115.5940594059406,30.0,400.0
Abbotsford,3,h,1200000.0,2.5,3067.0,2.0,1.0,113.0,110.0,1880.0,Yarra,-37.8056,144.993,140.29299363057325,28.0,900.0
Abbotsford,3,h,1176500.0,2.5,3067.0,1.0,1.0,138.0,105.0,1890.0,Yarra,-37.8021,144.9965,115.5940594059406,30.0,400.0
Abbotsford,3,h,1176500.0,2.5,3067.0,1.0,1.0,138.0,105.0,1890.0,Yarra,-37.8021,144.9965,140.29299363057325,28.0,900.0
Abbotsford,3,h,955000.0,2.5,3067.0,1.0,0.0,183.0,,,Yarra,-37.8022,144.9975,115.5940594059406,30.0,400.0
Abbotsford,3,h,955000.0,2.5,3067.0,1.0,0.0,183.0,,,Yarra,-37.8022,144.9975,140.29299363057325,28.0,900.0
Abbotsford,2,h,890000.0,2.5,3067.0,1.0,1.0,150.0,73.0,1985.0,Yarra,-37.8011,145.0004,115.5940594059406,30.0,400.0
Abbotsford,2,h,890000.0,2.5,3067.0,1.0,1.0,150.0,73.0,1985.0,Yarra,-37.8011,145.0004,140.29299363057325,28.0,900.0
Abbotsford,4,h,1330000.0,2.5,3067.0,2.0,2.0,780.0,135.0,1900.0,Yarra,-37.8073,144.9952,115.5940594059406,30.0,400.0
Abbotsford,4,h,1330000.0,2.5,3067.0,2.0,2.0,780.0,135.0,1900.0,Yarra,-37.8073,144.9952,140.29299363057325,28.0,900.0
Abbotsford,3,u,1090000.0,2.5,3067.0,2.0,2.0,4290.0,27.0,,Yarra,-37.8078,144.9965,115.5940594059406,30.0,400.0
Abbotsford,3,u,1090000.0,2.5,3067.0,2.0,2.0,4290.0,27.0,,Yarra,-37.8078,144.9965,140.29299363057325,28.0,900.0
Abbotsford,2,h,1100000.0,2.5,3067.0,2.0,1.0,124.0,135.0,2013.0,Yarra,-37.8079,144.9977,115.5940594059406,30.0,400.0
Abbotsford,2,h,1100000.0,2.5,3067.0,2.0,1.0,124.0,135.0,2013.0,Yarra,-37.8079,144.9977,140.29299363057325,28.0,900.0
Abbotsford,2,h,1315000.0,2.5,3067.0,1.0,0.0,147.0,85.0,1900.0,Yarra,-37.808,144.994,115.5940594059406,30.0,400.0
Abbotsford,2,h,1315000.0,2.5,3067.0,1.0,0.0,147.0,85.0,1900.0,Yarra,-37.808,144.994,140.29299363057325,28.0,900.0
Abbotsford,3,h,1447500.0,2.5,3067.0,3.0,1.0,166.0,174.0,2012.0,Yarra,-37.8017,145.0001,115.5940594059406,30.0,400.0
Abbotsford,3,h,1447500.0,2.5,3067.0,3.0,1.0,166.0,174.0,2012.0,Yarra,-37.8017,145.0001,140.29299363057325,28.0,900.0
Abbotsford,2,h,1135000.0,2.5,3067.0,2.0,2.0,98.0,128.0,1920.0,Yarra,-37.8005,144.9952,115.5940594059406,30.0,400.0
Abbotsford,2,h,1135000.0,2.5,3067.0,2.0,2.0,98.0,128.0,1920.0,Yarra,-37.8005,144.9952,140.29299363057325,28.0,900.0
Abbotsford,3,h,1290000.0,2.5,3067.0,2.0,2.0,147.0,18.0,,Yarra,-37.805,144.9943,115.5940594059406,30.0,400.0
Abbotsford,3,h,1290000.0,2.5,3067.0,2.0,2.0,147.0,18.0,,Yarra,-37.805,144.9943,140.29299363057325,28.0,900.0
Abbotsford,3,h,1290000.0,2.5,3067.0,1.0,1.0,168.0,124.0,1950.0,Yarra,-37.8007,144.9958,115.5940594059406,30.0,400.0
Abbotsford,3,h,1290000.0,2.5,3067.0,1.0,1.0,168.0,124.0,1950.0,Yarra,-37.8007,144.9958,140.29299363057325,28.0,900.0
Abbotsford,2,h,1180000.0,2.5,3067.0,1.0,0.0,162.0,91.0,1900.0,Yarra,-37.8016,144.9956,115.5940594059406,30.0,400.0
Abbotsford,2,h,1180000.0,2.5,3067.0,1.0,0.0,162.0,91.0,1900.0,Yarra,-37.8016,144.9956,140.29299363057325,28.0,900.0
Abbotsford,3,h,1195000.0,2.5,3067.0,2.0,1.0,120.0,128.0,1998.0,Yarra,-37.8022,144.9954,115.5940594059406,30.0,400.0
Abbotsford,3,h,1195000.0,2.5,3067.0,2.0,1.0,120.0,128.0,1998.0,Yarra,-37.8022,144.9954,140.29299363057325,28.0,900.0
Abbotsford,2,h,1012500.0,2.5,3067.0,1.0,0.0,182.0,82.0,1900.0,Yarra,-37.8021,144.9976,115.5940594059406,30.0,400.0
Abbotsford,2,h,1012500.0,2.5,3067.0,1.0,0.0,182.0,82.0,1900.0,Yarra,-37.8021,144.9976,140.29299363057325,28.0,900.0
Abbotsford,2,h,1030000.0,2.5,3067.0,1.0,1.0,172.0,81.0,1930.0,Yarra,-37.8086,144.9946,115.5940594059406,30.0,400.0
Abbotsford,2,h,1030000.0,2.5,3067.0,1.0,1.0,172.0,81.0,1930.0,Yarra,-37.8086,144.9946,140.29299363057325,28.0,900.0
Airport West,3,t,840000.0,13.5,3042.0,2.0,1.0,303.0,225.0,2016.0,Moonee Valley,-37.718,144.878,78.5,54.0,120.0
Airport West,3,t,840000.0,13.5,3042.0,2.0,1.0,303.0,225.0,2016.0,Moonee Valley,-37.718,144.878,82.48148148148148,0.0,264.0
Airport West,2,h,603000.0,13.5,3042.0,1.0,1.0,272.0,84.0,1950.0,Moonee Valley,-37.7294,144.888,78.5,54.0,120.0
Airport West,2,h,603000.0,13.5,3042.0,1.0,1.0,272.0,84.0,1950.0,Moonee Valley,-37.7294,144.888,82.48148148148148,0.0,264.0
Airport West,3,t,700000.0,13.5,3042.0,2.0,2.0,239.0,134.0,2009.0,Moonee Valley,-37.7218,144.8837,78.5,54.0,120.0
Airport West,3,t,700000.0,13.5,3042.0,2.0,2.0,239.0,134.0,2009.0,Moonee Valley,-37.7218,144.8837,82.48148148148148,0.0,264.0
Airport West,3,h,600000.0,13.5,3042.0,1.0,1.0,290.0,116.0,1980.0,Moonee Valley,-37.7273,144.8744,78.5,54.0,120.0
Airport West,3,h,600000.0,13.5,3042.0,1.0,1.0,290.0,116.0,1980.0,Moonee Valley,-37.7273,144.8744,82.48148148148148,0.0,264.0
Airport West,2,u,500000.0,13.5,3042.0,1.0,1.0,168.0,86.0,2011.0,Moonee Valley,-37.7215,144.8864,78.5,54.0,120.0
Airport West,2,u,500000.0,13.5,3042.0,1.0,1.0,168.0,86.0,2011.0,Moonee Valley,-37.7215,144.8864,82.48148148148148,0.0,264.0
Airport West,3,h,720000.0,13.5,3042.0,1.0,1.0,620.0,,,Moonee Valley,-37.7173,144.8872,78.5,54.0,120.0
Airport West,3,h,720000.0,13.5,3042.0,1.0,1.0,620.0,,,Moonee Valley,-37.7173,144.8872,82.48148148148148,0.0,264.0
Airport West,4,h,785000.0,13.5,3042.0,1.0,2.0,597.0,127.0,,Moonee Valley,-37.7259,144.8792,78.5,54.0,120.0
Airport West,4,h,785000.0,13.5,3042.0,1.0,2.0,597.0,127.0,,Moonee Valley,-37.7259,144.8792,82.48148148148148,0.0,264.0
Airport West,6,h,725000.0,13.5,3042.0,3.0,2.0,976.0,186.0,1980.0,Moonee Valley,-37.7239,144.8735,78.5,54.0,120.0
Airport West,6,h,725000.0,13.5,3042.0,3.0,2.0,976.0,186.0,1980.0,Moonee Valley,-37.7239,144.8735,82.48148148148148,0.0,264.0
Airport West,2,t,450000.0,13.5,3042.0,1.0,1.0,110.0,90.0,2015.0,Moonee Valley,-37.7216,144.871,78.5,54.0,120.0
Airport West,2,t,450000.0,13.5,3042.0,1.0,1.0,110.0,90.0,2015.0,Moonee Valley,-37.7216,144.871,82.48148148148148,0.0,264.0
Airport West,2,u,515000.0,13.5,3042.0,1.0,1.0,141.0,73.0,2013.0,Moonee Valley,-37.7298,144.8883,78.5,54.0,120.0
Airport West,2,u,515000.0,13.5,3042.0,1.0,1.0,141.0,73.0,2013.0,Moonee Valley,-37.7298,144.8883,82.48148148148148,0.0,264.0
Airport West,2,u,530000.0,13.5,3042.0,1.0,1.0,120.0,94.0,2012.0,Moonee Valley,-37.7234,144.8792,78.5,54.0,120.0
Airport West,2,u,530000.0,13.5,3042.0,1.0,1.0,120.0,94.0,2012.0,Moonee Valley,-37.7234,144.8792,82.48148148148148,0.0,264.0
Airport West,3,u,752000.0,13.5,3042.0,1.0,1.0,265.0,130.0,1993.0,Moonee Valley,-37.7302,144.8855,78.5,54.0,120.0
Airport West,3,u,752000.0,13.5,3042.0,1.0,1.0,265.0,130.0,1993.0,Moonee Valley,-37.7302,144.8855,82.48148148148148,0.0,264.0
Airport West,2,u,440000.0,13.5,3042.0,1.0,1.0,192.0,,,Moonee Valley,-37.7177,144.8787,78.5,54.0,120.0
Airport West,2,u,440000.0,13.5,3042.0,1.0,1.0,192.0,,,Moonee Valley,-37.7177,144.8787,82.48148148148148,0.0,264.0
Airport West,5,h,755000.0,13.5,3042.0,2.0,2.0,596.0,,,Moonee Valley,-37.7248,144.8699,78.5,54.0,120.0
Airport West,5,h,755000.0,13.5,3042.0,2.0,2.0,596.0,,,Moonee Valley,-37.7248,144.8699,82.48148148148148,0.0,264.0
Airport West,3,t,700000.0,13.5,3042.0,2.0,2.0,165.0,133.0,2009.0,Moonee Valley,-37.727,144.887,78.5,54.0,120.0
Airport West,3,t,700000.0,13.5,3042.0,2.0,2.0,165.0,133.0,2009.0,Moonee Valley,-37.727,144.887,82.48148148148148,0.0,264.0
Airport West,3,h,830000.0,13.5,3042.0,1.0,2.0,971.0,113.0,1960.0,Moonee Valley,-37.7186,144.876,78.5,54.0,120.0
Airport West,3,h,830000.0,13.5,3042.0,1.0,2.0,971.0,113.0,1960.0,Moonee Valley,-37.7186,144.876,82.48148148148148,0.0,264.0
Airport West,2,u,462500.0,13.5,3042.0,1.0,1.0,164.0,,2003.0,Moonee Valley,-37.7218,144.8863,78.5,54.0,120.0
Airport West,2,u,462500.0,13.5,3042.0,1.0,1.0,164.0,,2003.0,Moonee Valley,-37.7218,144.8863,82.48148148148148,0.0,264.0
Airport West,3,h,670000.0,13.5,3042.0,2.0,2.0,657.0,,,Moonee Valley,-37.7269,144.8742,78.5,54.0,120.0
Airport West,3,h,670000.0,13.5,3042.0,2.0,2.0,657.0,,,Moonee Valley,-37.7269,144.8742,82.48148148148148,0.0,264.0
Airport West,2,h,675000.0,13.5,3042.0,1.0,1.0,612.0,100.0,1975.0,Moonee Valley,-37.7187,144.8765,78.5,54.0,120.0
Airport West,2,h,675000.0,13.5,3042.0,1.0,1.0,612.0,100.0,1975.0,Moonee Valley,-37.7187,144.8765,82.48148148148148,0.0,264.0
Airport West,3,h,910000.0,13.5,3042.0,1.0,1.0,775.0,,,Moonee Valley,-37.7231,144.8835,78.5,54.0,120.0
Airport West,3,h,910000.0,13.5,3042.0,1.0,1.0,775.0,,,Moonee Valley,-37.7231,144.8835,82.48148148148148,0.0,264.0
Airport West,4,h,773000.0,13.5,3042.0,3.0,4.0,531.0,309.0,1980.0,Moonee Valley,-37.7263,144.8679,78.5,54.0,120.0
Airport West,4,h,773000.0,13.5,3042.0,3.0,4.0,531.0,309.0,1980.0,Moonee Valley,-37.7263,144.8679,82.48148148148148,0.0,264.0
Airport West,3,h,810000.0,13.5,3042.0,3.0,2.0,555.0,192.0,1980.0,Moonee Valley,-37.7285,144.8694,78.5,54.0,120.0
Airport West,3,h,810000.0,13.5,3042.0,3.0,2.0,555.0,192.0,1980.0,Moonee Valley,-37.7285,144.8694,82.48148148148148,0.0,264.0
Airport West,3,h,715000.0,13.5,3042.0,2.0,2.0,422.0,126.0,1995.0,Moonee Valley,-37.7164,144.8792,78.5,54.0,120.0
Airport West,3,h,715000.0,13.5,3042.0,2.0,2.0,422.0,126.0,1995.0,Moonee Valley,-37.7164,144.8792,82.48148148148148,0.0,264.0
Airport West,3,h,790000.0,13.5,3042.0,1.0,3.0,614.0,,,Moonee Valley,-37.7194,144.8827,78.5,54.0,120.0
Airport West,3,h,790000.0,13.5,3042.0,1.0,3.0,614.0,,,Moonee Valley,-37.7194,144.8827,82.48148148148148,0.0,264.0
Airport West,3,t,540000.0,13.5,3042.0,2.0,1.0,161.0,101.0,2010.0,Moonee Valley,-37.7231,144.8802,78.5,54.0,120.0
Airport West,3,t,540000.0,13.5,3042.0,2.0,1.0,161.0,101.0,2010.0,Moonee Valley,-37.7231,144.8802,82.48148148148148,0.0,264.0
Airport West,3,t,825000.0,13.5,3042.0,2.0,1.0,293.0,102.0,1960.0,Moonee Valley,-37.72,144.8776,78.5,54.0,120.0
Airport West,3,t,825000.0,13.5,3042.0,2.0,1.0,293.0,102.0,1960.0,Moonee Valley,-37.72,144.8776,82.48148148148148,0.0,264.0
Airport West,3,h,685000.0,13.5,3042.0,1.0,1.0,579.0,113.0,1975.0,Moonee Valley,-37.7226,144.8733,78.5,54.0,120.0
Airport West,3,h,685000.0,13.5,3042.0,1.0,1.0,579.0,113.0,1975.0,Moonee Valley,-37.7226,144.8733,82.48148148148148,0.0,264.0
Airport West,3,h,805000.0,13.5,3042.0,1.0,1.0,623.0,,,Moonee Valley,-37.7184,144.882,78.5,54.0,120.0
Airport West,3,h,805000.0,13.5,3042.0,1.0,1.0,623.0,,,Moonee Valley,-37.7184,144.882,82.48148148148148,0.0,264.0
Airport West,2,u,510000.0,13.5,3042.0,1.0,1.0,141.0,76.0,,Moonee Valley,-37.7202,144.8797,78.5,54.0,120.0
Airport West,2,u,510000.0,13.5,3042.0,1.0,1.0,141.0,76.0,,Moonee Valley,-37.7202,144.8797,82.48148148148148,0.0,264.0
Airport West,3,h,612000.0,13.5,3042.0,2.0,1.0,212.0,,,Moonee Valley,-37.7181,144.8824,78.5,54.0,120.0
Airport West,3,h,612000.0,13.5,3042.0,2.0,1.0,212.0,,,Moonee Valley,-37.7181,144.8824,82.48148148148148,0.0,264.0
Airport West,3,h,662000.0,13.5,3042.0,1.0,2.0,612.0,,,Moonee Valley,-37.7169,144.8815,78.5,54.0,120.0
Airport West,3,h,662000.0,13.5,3042.0,1.0,2.0,612.0,,,Moonee Valley,-37.7169,144.8815,82.48148148148148,0.0,264.0
Airport West,4,h,978000.0,13.5,3042.0,3.0,2.0,532.0,,,Moonee Valley,-37.7263,144.869,78.5,54.0,120.0
Airport West,4,h,978000.0,13.5,3042.0,3.0,2.0,532.0,,,Moonee Valley,-37.7263,144.869,82.48148148148148,0.0,264.0
Airport West,3,h,720000.0,13.5,3042.0,1.0,1.0,585.0,,,Moonee Valley,-37.72,144.878,78.5,54.0,120.0
Airport West,3,h,720000.0,13.5,3042.0,1.0,1.0,585.0,,,Moonee Valley,-37.72,144.878,82.48148148148148,0.0,264.0
Airport West,4,h,765000.0,13.5,3042.0,1.0,2.0,509.0,,,Moonee Valley,-37.7261,144.8785,78.5,54.0,120.0
Airport West,4,h,765000.0,13.5,3042.0,1.0,2.0,509.0,,,Moonee Valley,-37.7261,144.8785,82.48148148148148,0.0,264.0
Airport West,4,h,900000.0,13.5,3042.0,2.0,3.0,628.0,146.0,1975.0,Moonee Valley,-37.7256,144.8739,78.5,54.0,120.0
Airport West,4,h,900000.0,13.5,3042.0,2.0,3.0,628.0,146.0,1975.0,Moonee Valley,-37.7256,144.8739,82.48148148148148,0.0,264.0
Albert Park,2,h,1275000.0,3.3,3206.0,1.0,0.0,120.0,82.0,1900.0,Port Phillip,-37.8459,144.9555,233.58333333333334,40.0,1024.0
Albert Park,2,h,1275000.0,3.3,3206.0,1.0,0.0,120.0,82.0,1900.0,Port Phillip,-37.8459,144.9555,223.42,50.0,750.0
Albert Park,2,h,1455000.0,3.3,3206.0,1.0,0.0,159.0,,,Port Phillip,-37.845,144.9538,233.58333333333334,40.0,1024.0
Albert Park,2,h,1455000.0,3.3,3206.0,1.0,0.0,159.0,,,Port Phillip,-37.845,144.9538,223.42,50.0,750.0
Albert Park,3,h,2850000.0,3.3,3206.0,2.0,0.0,211.0,198.0,1890.0,Port Phillip,-37.8481,144.9499,233.58333333333334,40.0,1024.0
Albert Park,3,h,2850000.0,3.3,3206.0,2.0,0.0,211.0,198.0,1890.0,Port Phillip,-37.8481,144.9499,223.42,50.0,750.0
Albert Park,3,h,1850000.0,3.3,3206.0,2.0,0.0,128.0,133.0,1890.0,Port Phillip,-37.8452,144.9488,233.58333333333334,40.0,1024.0
Albert Park,3,h,1850000.0,3.3,3206.0,2.0,0.0,128.0,133.0,1890.0,Port Phillip,-37.8452,144.9488,223.42,50.0,750.0
Albert Park,2,h,1436000.0,3.3,3206.0,1.0,0.0,130.0,81.0,1900.0,Port Phillip,-37.8431,144.9565,233.58333333333334,40.0,1024.0
Albert Park,2,h,1436000.0,3.3,3206.0,1.0,0.0,130.0,81.0,1900.0,Port Phillip,-37.8431,144.9565,223.42,50.0,750.0
Albert Park,2,h,1110000.0,3.3,3206.0,1.0,0.0,147.0,,1900.0,Port Phillip,-37.8444,144.9484,233.58333333333334,40.0,1024.0
Albert Park,2,h,1110000.0,3.3,3206.0,1.0,0.0,147.0,,1900.0,Port Phillip,-37.8444,144.9484,223.42,50.0,750.0
Albert Park,2,h,1550000.0,3.3,3206.0,1.0,1.0,167.0,,,Port Phillip,-37.8405,144.9521,233.58333333333334,40.0,1024.0
Albert Park,2,h,1550000.0,3.3,3206.0,1.0,1.0,167.0,,,Port Phillip,-37.8405,144.9521,223.42,50.0,750.0
Albert Park,4,h,2300000.0,3.3,3206.0,2.0,1.0,153.0,180.0,1880.0,Port Phillip,-37.8447,144.9523,233.58333333333334,40.0,1024.0
Albert Park,4,h,2300000.0,3.3,3206.0,2.0,1.0,153.0,180.0,1880.0,Port Phillip,-37.8447,144.9523,223.42,50.0,750.0
Albert Park,3,t,1550000.0,3.3,3206.0,2.0,2.0,718.0,,,Port Phillip,-37.8443,144.9598,233.58333333333334,40.0,1024.0
Albert Park,3,t,1550000.0,3.3,3206.0,2.0,2.0,718.0,,,Port Phillip,-37.8443,144.9598,223.42,50.0,750.0
Albert Park,3,h,1800000.0,3.3,3206.0,2.0,1.0,132.0,159.0,1996.0,Port Phillip,-37.8415,144.952,233.58333333333334,40.0,1024.0
Albert Park,3,h,1800000.0,3.3,3206.0,2.0,1.0,132.0,159.0,1996.0,Port Phillip,-37.8415,144.952,223.42,50.0,750.0
Albert Park,2,h,2120000.0,3.3,3206.0,1.0,1.0,199.0,107.0,1900.0,Port Phillip,-37.8422,144.9554,233.58333333333334,40.0,1024.0
Albert Park,2,h,2120000.0,3.3,3206.0,1.0,1.0,199.0,107.0,1900.0,Port Phillip,-37.8422,144.9554,223.42,50.0,750.0
Albert Park,3,h,1800000.0,3.3,3206.0,1.0,1.0,253.0,,,Port Phillip,-37.8443,144.9579,233.58333333333334,40.0,1024.0
Albert Park,3,h,1800000.0,3.3,3206.0,1.0,1.0,253.0,,,Port Phillip,-37.8443,144.9579,223.42,50.0,750.0
Albert Park,3,h,1800000.0,3.3,3206.0,2.0,1.0,90.0,122.0,1900.0,Port Phillip,-37.8421,144.9571,233.58333333333334,40.0,1024.0
Albert Park,3,h,1800000.0,3.3,3206.0,2.0,1.0,90.0,122.0,1900.0,Port Phillip,-37.8421,144.9571,223.42,50.0,750.0
Albert Park,2,h,1810000.0,3.3,3206.0,1.0,0.0,240.0,,,Port Phillip,-37.8379,144.9539,233.58333333333334,40.0,1024.0
Albert Park,2,h,1810000.0,3.3,3206.0,1.0,0.0,240.0,,,Port Phillip,-37.8379,144.9539,223.42,50.0,750.0
Albert Park,3,h,2615000.0,3.3,3206.0,2.0,1.0,177.0,181.0,1880.0,Port Phillip,-37.8415,144.9585,233.58333333333334,40.0,1024.0
Albert Park,3,h,2615000.0,3.3,3206.0,2.0,1.0,177.0,181.0,1880.0,Port Phillip,-37.8415,144.9585,223.42,50.0,750.0
Albert Park,5,h,2100000.0,3.3,3206.0,2.0,1.0,237.0,,,Port Phillip,-37.8436,144.9557,233.58333333333334,40.0,1024.0
Albert Park,5,h,2100000.0,3.3,3206.0,2.0,1.0,237.0,,,Port Phillip,-37.8436,144.9557,223.42,50.0,750.0
Albert Park,3,h,1300000.0,3.3,3206.0,1.0,0.0,129.0,,,Port Phillip,-37.8422,144.94899999999996,233.58333333333334,40.0,1024.0
Albert Park,3,h,1300000.0,3.3,3206.0,1.0,0.0,129.0,,,Port Phillip,-37.8422,144.94899999999996,223.42,50.0,750.0
Albert Park,2,h,1000000.0,3.3,3206.0,1.0,0.0,288.0,,,Port Phillip,-37.8407,144.9523,233.58333333333334,40.0,1024.0
Albert Park,2,h,1000000.0,3.3,3206.0,1.0,0.0,288.0,,,Port Phillip,-37.8407,144.9523,223.42,50.0,750.0
Albert Park,3,h,2575000.0,3.3,3206.0,2.0,1.0,228.0,,,Port Phillip,-37.8445,144.9501,233.58333333333334,40.0,1024.0
Albert Park,3,h,2575000.0,3.3,3206.0,2.0,1.0,228.0,,,Port Phillip,-37.8445,144.9501,223.42,50.0,750.0
Albert Park,2,h,1322500.0,3.3,3206.0,1.0,0.0,149.0,98.0,1890.0,Port Phillip,-37.8443,144.9481,233.58333333333334,40.0,1024.0
Albert Park,2,h,1322500.0,3.3,3206.0,1.0,0.0,149.0,98.0,1890.0,Port Phillip,-37.8443,144.9481,223.42,50.0,750.0
Albert Park,2,h,1562500.0,3.3,3206.0,1.0,0.0,141.0,83.0,1890.0,Port Phillip,-37.8424,144.9562,233.58333333333334,40.0,1024.0
Albert Park,2,h,1562500.0,3.3,3206.0,1.0,0.0,141.0,83.0,1890.0,Port Phillip,-37.8424,144.9562,223.42,50.0,750.0
Albert Park,3,h,2000000.0,3.3,3206.0,2.0,1.0,211.0,147.0,1900.0,Port Phillip,-37.847,144.9575,233.58333333333334,40.0,1024.0
Albert Park,3,h,2000000.0,3.3,3206.0,2.0,1.0,211.0,147.0,1900.0,Port Phillip,-37.847,144.9575,223.42,50.0,750.0
Albert Park,3,h,1900000.0,3.3,3206.0,1.0,0.0,209.0,,1900.0,Port Phillip,-37.8468,144.9546,233.58333333333334,40.0,1024.0
Albert Park,3,h,1900000.0,3.3,3206.0,1.0,0.0,209.0,,1900.0,Port Phillip,-37.8468,144.9546,223.42,50.0,750.0
Albert Park,3,h,3010000.0,3.3,3206.0,2.0,0.0,147.0,146.0,1890.0,Port Phillip,-37.8473,144.9551,233.58333333333334,40.0,1024.0
Albert Park,3,h,3010000.0,3.3,3206.0,2.0,0.0,147.0,146.0,1890.0,Port Phillip,-37.8473,144.9551,223.42,50.0,750.0
Albert Park,4,h,2800000.0,3.3,3206.0,3.0,1.0,327.0,254.0,1910.0,Port Phillip,-37.8467,144.9475,233.58333333333334,40.0,1024.0
Albert Park,4,h,2800000.0,3.3,3206.0,3.0,1.0,327.0,254.0,1910.0,Port Phillip,-37.8467,144.9475,223.42,50.0,750.0
Albert Park,3,h,2100000.0,3.3,3206.0,1.0,1.0,120.0,123.0,1900.0,Port Phillip,-37.8427,144.9546,233.58333333333334,40.0,1024.0
Albert Park,3,h,2100000.0,3.3,3206.0,1.0,1.0,120.0,123.0,1900.0,Port Phillip,-37.8427,144.9546,223.42,50.0,750.0
Albert Park,3,h,2000000.0,3.3,3206.0,1.0,1.0,238.0,131.0,1890.0,Port Phillip,-37.8461,144.9528,233.58333333333334,40.0,1024.0
Albert Park,3,h,2000000.0,3.3,3206.0,1.0,1.0,238.0,131.0,1890.0,Port Phillip,-37.8461,144.9528,223.42,50.0,750.0
Albert Park,4,h,4735000.0,3.3,3206.0,2.0,1.0,330.0,207.0,1910.0,Port Phillip,-37.8477,144.9558,233.58333333333334,40.0,1024.0
Albert Park,4,h,4735000.0,3.3,3206.0,2.0,1.0,330.0,207.0,1910.0,Port Phillip,-37.8477,144.9558,223.42,50.0,750.0
Albert Park,2,h,1340000.0,3.3,3206.0,1.0,0.0,136.0,,,Port Phillip,-37.846,144.9517,233.58333333333334,40.0,1024.0
